Wk;Day;Date;Time;Home;xG;Score;xG;Away;Venue
7;Sun;01/10/2023;20:45;Rennes;2.7;3–1;1.0;Nantes;Roazhon Park
8;Fri;06/10/2023;21:00;Strasbourg;0.7;1–2;1.9;Nantes;Stade de la Meinau
8;Sat;07/10/2023;17:00;Metz;0.4;0–1;1.4;Nice;Stade Saint-Symphorien
8;Sat;07/10/2023;21:00;Reims;1.5;1–3;1.2;Monaco;Stade Auguste-Delaune
8;Sun;08/10/2023;13:00;Marseille;2.8;3–0;0.2;Le Havre;Orange Vélodrome
8;Sun;08/10/2023;15:00;Lyon;1.4;3–3;1.1;Lorient;Groupama Stadium
8;Sun;08/10/2023;15:00;Brest;1.5;1–1;1.2;Toulouse;Stade Francis-Le Blé
8;Sun;08/10/2023;17:05;Lens;2.0;1–1;1.7;Lille;Stade Bollaert-Delelis
8;Sun;08/10/2023;20:45;Rennes;1.1;1–3;3.5;Paris S-G;Roazhon Park
9;Fri;20/10/2023;21:00;Le Havre;1.6;0–0;1.6;Lens;Stade Océane
9;Sat;21/10/2023;17:00;Paris S-G;2.0;3–0;0.4;Strasbourg;Parc des Princes
9;Sat;21/10/2023;21:00;Nice;0.6;1–0;1.1;Marseille;Stade de Nice
9;Sun;22/10/2023;13:00;Lorient;0.6;2–1;0.9;Rennes;Stade du Moustoir
9;Sun;22/10/2023;15:00;Nantes;1.5;2–0;0.5;Montpellier;Stade de la Beaujoire - Louis Fonteneau
9;Sun;22/10/2023;15:00;Toulouse;0.8;1–1;1.3;Reims;Stadium Municipal
9;Sun;22/10/2023;15:00;Lille;1.6;1–0;0.8;Brest;Decathlon Arena - Stade Pierre-Mauroy
9;Sun;22/10/2023;17:05;Monaco;2.0;2–1;1.0;Metz;Stade Louis II
9;Sun;22/10/2023;20:45;Lyon;1.7;1–2;1.0;Clermont Foot;Groupama Stadium
10;Fri;27/10/2023;21:00;Clermont Foot;0.5;0–1;2.2;Nice;Stade Gabriel Montpied
10;Sat;28/10/2023;17:00;Reims;0.8;1–0;0.4;Lorient;Stade Auguste-Delaune
10;Sat;28/10/2023;21:00;Lens;3.7;4–0;1.0;Nantes;Stade Bollaert-Delelis
10;Sun;29/10/2023;13:00;Brest;1.8;2–3;2.1;Paris S-G;Stade Francis-Le Blé
10;Sun;29/10/2023;15:00;Metz;0.5;0–0;0.7;Le Havre;Stade Saint-Symphorien
10;Sun;29/10/2023;15:00;Lille;0.5;2–0;0.6;Monaco;Decathlon Arena - Stade Pierre-Mauroy
10;Sun;29/10/2023;15:00;Montpellier;3.0;3–0;1.2;Toulouse;Stade de la Mosson
10;Sun;29/10/2023;17:05;Rennes;1.1;1–1;1.0;Strasbourg;Roazhon Park
11;Fri;03/11/2023;21:00;Paris S-G;1.1;3–0;0.5;Montpellier;Parc des Princes
11;Sat;04/11/2023;17:00;Lorient;0.5;0–0;0.6;Lens;Stade du Moustoir
11;Sat;04/11/2023;21:00;Marseille;0.8;0–0;0.3;Lille;Orange Vélodrome
11;Sun;05/11/2023;13:00;Lyon;1.9;1–1;0.7;Metz;Groupama Stadium
11;Sun;05/11/2023;15:00;Strasbourg;1.0;0–0;0.9;Clermont Foot;Stade de la Meinau
11;Sun;05/11/2023;15:00;Toulouse;2.6;1–2;1.1;Le Havre;Stadium Municipal
11;Sun;05/11/2023;15:00;Nantes;1.8;0–1;1.1;Reims;Stade de la Beaujoire - Louis Fonteneau
11;Sun;05/11/2023;17:05;Monaco;0.8;2–0;0.8;Brest;Stade Louis II
11;Sun;05/11/2023;20:45;Nice;1.6;2–0;0.8;Rennes;Stade de Nice
12;Fri;10/11/2023;21:00;Montpellier;0.5;0–0;0.7;Nice;Stade de la Mosson
12;Sat;11/11/2023;17:00;Reims;1.3;0–3;2.3;Paris S-G;Stade Auguste-Delaune
12;Sat;11/11/2023;21:00;Le Havre;1.4;0–0;0.6;Monaco;Stade Océane
12;Sun;12/11/2023;15:00;Clermont Foot;1.5;1–0;0.5;Lorient;Stade Gabriel Montpied
12;Sun;12/11/2023;15:00;Metz;1.1;3–1;1.3;Nantes;Stade Saint-Symphorien
12;Sun;12/11/2023;15:00;Lille;2.5;1–1;0.1;Toulouse;Decathlon Arena - Stade Pierre-Mauroy
12;Sun;12/11/2023;17:05;Rennes;0.9;0–1;1.5;Lyon;Roazhon Park
12;Sun;12/11/2023;20:45;Lens;1.1;1–0;1.0;Marseille;Stade Bollaert-Delelis
13;Fri;24/11/2023;21:00;Paris S-G;2.6;5–2;1.6;Monaco;Parc des Princes
13;Sat;25/11/2023;17:00;Clermont Foot;1.9;0–3;2.2;Lens;Stade Gabriel Montpied
13;Sat;25/11/2023;21:00;Strasbourg;1.1;1–1;1.4;Marseille;Stade de la Meinau
13;Sun;26/11/2023;13:00;Nice;1.0;1–0;1.3;Toulouse;Stade de Nice
13;Sun;26/11/2023;15:00;Montpellier;1.7;1–3;1.7;Brest;Stade de la Mosson
13;Sun;26/11/2023;15:00;Lorient;1.2;2–3;1.9;Metz;Stade du Moustoir
13;Sun;26/11/2023;15:00;Nantes;1.3;0–0;0.2;Le Havre;Stade de la Beaujoire - Louis Fonteneau
13;Sun;26/11/2023;17:05;Rennes;1.8;3–1;1.6;Reims;Roazhon Park
13;Sun;26/11/2023;20:45;Lyon;1.9;0–2;1.5;Lille;Groupama Stadium
8;Wed;29/11/2023;19:00;Montpellier;2.4;1–1;0.4;Clermont Foot;Stade de la Mosson
14;Fri;01/12/2023;21:00;Reims;1.3;2–1;1.7;Strasbourg;Stade Auguste-Delaune
14;Sat;02/12/2023;17:00;Lens;2.1;3–2;2.5;Lyon;Stade Bollaert-Delelis
14;Sat;02/12/2023;21:00;Nantes;1.4;1–0;1.3;Nice;Stade de la Beaujoire - Louis Fonteneau
