Wk;Day;Date;Time;Home;xG;Score;xG;Away;Venue
1;Fri;05/08/2022;21:00;Lyon;1.3;2–1;1.5;Ajaccio;Groupama Stadium
1;Sat;06/08/2022;17:00;Strasbourg;0.8;1–2;2.8;Monaco;Stade de la Meinau
1;Sat;06/08/2022;21:00;Clermont Foot;0.3;0–5;3.5;Paris S-G;Stade Gabriel Montpied
1;Sun;07/08/2022;13:00;Toulouse;0.9;1–1;1.2;Nice;Stadium Municipal
1;Sun;07/08/2022;15:00;Angers;1.5;0–0;1.5;Nantes;Stade Raymond Kopa
1;Sun;07/08/2022;15:00;Lille;2.4;4–1;0.6;Auxerre;Stade Pierre-Mauroy
1;Sun;07/08/2022;15:00;Montpellier;1.7;3–2;2.0;Troyes;Stade de la Mosson
1;Sun;07/08/2022;15:00;Lens;2.5;3–2;1.2;Brest;Stade Bollaert-Delelis
1;Sun;07/08/2022;17:05;Rennes;1.8;0–1;1.1;Lorient;Roazhon Park
1;Sun;07/08/2022;20:45;Marseille;2.1;4–1;0.9;Reims;Orange Vélodrome
2;Fri;12/08/2022;21:00;Nantes;1.0;1–1;2.0;Lille;Stade de la Beaujoire - Louis Fonteneau
2;Sat;13/08/2022;17:00;Monaco;1.8;1–1;2.1;Rennes;Stade Louis II
2;Sat;13/08/2022;21:00;Paris S-G;3.2;5–2;0.9;Montpellier;Parc des Princes
2;Sun;14/08/2022;15:00;Ajaccio;0.5;0–0;1.4;Lens;Stade François Coty
2;Sun;14/08/2022;15:00;Reims;2.7;2–4;1.9;Clermont Foot;Stade Auguste-Delaune
2;Sun;14/08/2022;15:00;Auxerre;0.8;2–2;1.4;Angers;Stade de l'Abbé Deschamps
2;Sun;14/08/2022;15:00;Troyes;1.0;0–3;1.5;Toulouse;Stade de l'Aube
2;Sun;14/08/2022;17:05;Nice;1.6;1–1;0.9;Strasbourg;Stade de Nice
2;Sun;14/08/2022;20:45;Brest;2.0;1–1;0.7;Marseille;Stade Francis-Le Blé
3;Fri;19/08/2022;21:00;Lyon;2.6;4–1;1.0;Troyes;Groupama Stadium
3;Sat;20/08/2022;17:00;Monaco;1.6;1–4;2.5;Lens;Stade Louis II
3;Sat;20/08/2022;21:00;Marseille;1.1;2–1;2.2;Nantes;Orange Vélodrome
3;Sun;21/08/2022;13:00;Strasbourg;1.2;1–1;2.0;Reims;Stade de la Meinau
3;Sun;21/08/2022;15:00;Angers;0.6;1–3;1.8;Brest;Stade Raymond Kopa
3;Sun;21/08/2022;15:00;Clermont Foot;0.7;1–0;1.4;Nice;Stade Gabriel Montpied
3;Sun;21/08/2022;15:00;Toulouse;1.8;2–2;2.5;Lorient;Stadium Municipal
3;Sun;21/08/2022;15:00;Montpellier;1.0;1–2;1.3;Auxerre;Stade de la Mosson
3;Sun;21/08/2022;17:05;Rennes;1.2;2–1;1.4;Ajaccio;Roazhon Park
3;Sun;21/08/2022;20:45;Lille;1.7;1–7;3.4;Paris S-G;Stade Pierre-Mauroy
4;Fri;26/08/2022;21:00;Ajaccio;1.5;1–3;1.7;Lille;Stade François Coty
4;Sat;27/08/2022;17:00;Auxerre;0.6;1–0;1.3;Strasbourg;Stade de l'Abbé Deschamps
4;Sat;27/08/2022;21:00;Lens;1.3;2–1;1.0;Rennes;Stade Bollaert-Delelis
4;Sun;28/08/2022;13:00;Nantes;1.5;3–1;0.6;Toulouse;Stade de la Beaujoire - Louis Fonteneau
4;Sun;28/08/2022;15:00;Troyes;1.9;3–1;0.7;Angers;Stade de l'Aube
4;Sun;28/08/2022;15:00;Lorient;2.9;2–1;0.6;Clermont Foot;Stade du Moustoir
4;Sun;28/08/2022;15:00;Nice;1.0;0–3;1.4;Marseille;Stade de Nice
4;Sun;28/08/2022;15:00;Brest;0.3;0–7;2.5;Montpellier;Stade Francis-Le Blé
